JP,EN
\.「我々は　意志無き運ゲーを好みません」,\."We do not care for intentless games of luck."
##,##
,
[ホエミー / cara14-6],[ホエミー / cara14-6]
#Message#,#Message#
\.「ジャンケン等で　公平に犠牲者を決定するなんて,\."Such worthless acts as using rock-paper-scissors
　くだらないことは　禁止です！」, to fairly decide the victim are forbidden!"
##,##
,
[ホエミー / cara14-2],[ホエミー / cara14-2]
#Message#,#Message#
\.「そこで皆様　カードを出してください！」,"\.""And so, everyone, please take out your cards!"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（カード…）,\.\C[4](Cards...)
##,##
,
{ホエミー} [ホエミー / cara14-1],{ホエミー} [ホエミー / cara14-1]
#Message#,#Message#
\.「カードは　４種類の\C[2]役職\C[0]が　あります」,\."There are four \C[2]roles\C[0] given by the cards."
##,##
,
#Message#,#Message#
\.「ひとつめは　\C[4]平民\C[0]」,\."The first is the \C[4]Commoner\C[0]."
##,##
,
#Message#,#Message#
\.「これは何の力も持たない　意味の無いカード」,\."This is a meaningless card with no power at all."
##,##
,
#Message#,#Message#
\.「ふたつめは　\C[2]鍵番\C[0]」,\."The second is the \C[2]Keymaster\C[0]."
##,##
,
#Message#,#Message#
\.「なんと！　犠牲者に選ばれてしまうと　みんな全滅して,"\.""And oh my! It's a terrifying role indeed,"
　しまう恐ろしい役職！」," for if chosen as the victim, everyone will perish!"""
##,##
,
{サラ},{サラ}
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.\C[4]（\C[2]鍵番\C[4]は…　私のカードだ…！）,\.\C[4](\C[2]Keymaster\C[4]... That's my card!)
##,##
,
{ホエミー},{ホエミー}
#Message#,#Message#
\.「みっつめは　\C[3]賢者\C[0]」,\."Third is the \C[3]Sage\C[0]."
##,##
,
#Message#,#Message#
\.「聖なる占いの力で　\C[2]鍵番\C[0]が誰なのかを知ることができる,"\.""By holy divination, they know who the \C[2]Keymaster\C[0] is."
　超ラッキーな役職です！　持ってる方　おめでとう！」, A very lucky role! Congratulations to its owner!"
##,##
,
#Message#,#Message#
\.「よっつめは　\C[10]身代\C[0]」,\."Fourth is the \C[10]Sacrifice\C[0]."
##,##
,
#Message#,#Message#
\.「なんとこのカードだけは　犠牲者に選ばれた時だけ,"\.""Amazingly, this curious card allows the person"
　生存できる　不思議なカード！」, to survive only if chosen as the victim!"
##,##
,
{サラ},{サラ}
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
\.\C[4]（なっ…!?）,\.\C[4](Wha...?!)
##,##
,
{ホエミー},{ホエミー}
#Message#,#Message#
\.「つまり選ばれなきゃ死んでしまいます！,"\.""Which means if they're not chosen, they die!"
　ただし良いこともあるんです！」," However, there are positives as well!"""
##,##
,
#Message#,#Message#
\.「なんと\C[10]身代\C[0]だけ投票権を２票持ってる上に…」,"\.""The \C[10]Sacrifice\C[0] alone gets 2 votes, and also..."""
##,##
,
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「勝てば　好きな人１名と一緒に生きて脱出できるのです！」,"\.""If they win, they can escape alive"
##, with a person of their choice!"
,##
,
#Message#,#Message#
\.「まあその場合…その他の方は全滅になりますので,"\.""Well, but in that case... all the others will perish."
　がんばってください」, So good luck!"
##,##
,
[ホエミー / cara14-2],[ホエミー / cara14-2]
{SE: se_maoudamashii_magical14},{SE: se_maoudamashii_magical14}
#Message#,#Message#
\.「\C[2]鍵番　\C[3]賢者　\C[10]身代　\C[0]が１枚ずつ,"\.""There is one \C[2]Keymaster\C[0], \C[3]Sage\C[0], and \C[10]Sacrifice\C[0] each."
　他はすべて　\C[4]平民\C[0]　になっております, All the rest are \C[4]Commoners\C[0].
　しっかり覚えましたね！」," Committed it to memory, yes?"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（ま…待てよ…？）,\.\C[4](H... Hold on...)
##,##
,
#Message#,#Message#
\.\C[4]（これって…　もしかして…）,\.\C[4](Does this mean... Could it be...)
##,##
,
{ホエミー},{ホエミー}
{SE: shock1},{SE: shock1}
#Message#,#Message#
\.「つまり最低でも　２名が　死ぬことになります,"\.""So at minimum, two people will die."
　\!皆様　死なないように　がんばりましょう！」,"\! Everyone, do your best not to be one of them!"""
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（そんな…）,\.\C[4](No way...)
##,##
,
{N/A},{N/A}
#Message#,#Message#
\.\C[3]その時…聞こえた気がする。,\.\C[3]I felt like... I heard something at that moment.
##,##
,
#Message#,#Message#
\.\C[3]となりの部屋から…誰かが倒れるような、大きな音を。,\.\C[3]The loud sound of someone fainting in the room over.
##,##
,
-----Page3-----,-----Page3-----
{ホエミー} [ホエミー / cara14-1],{ホエミー} [ホエミー / cara14-1]
#Message#,#Message#
「メインゲーム開始まで　まだ時間があります,"There is still time until the Main Game begins.
　この場で　ご自由にお過ごしください」, Please spend your time freely here."
##,##
,
-----Page4-----,-----Page4-----
{ホエミー} [ホエミー / cara14-2],{ホエミー} [ホエミー / cara14-2]
#Message#,#Message#
「控室を出ずに１０分経ちますと　ペナルティで,"""If you wait 10 minutes without leaving,"
　死んでいただくことになります　お急ぎください」, you will be killed as penalty. Please hurry."
##,##
,
#Choice#,#Choice#
………,..........
出て行かない,Don't leave
##,##
,
<………>,<………>
,
<出て行かない>,<出て行かない>
,
{サラ} [ホエミー / cara14-2],{サラ} [ホエミー / cara14-2]
#Message#,#Message#
\.\C[4]（やっぱり…ここで出て行かないのも…幸せなのかも,\.\C[4](Sure enough...
　しれない…）, Maybe I'd be happier not leaving here...)
##,##
,
#Choice#,#Choice#
出ていく,Leave
ここに残る,Stay here
##,##
,
<出ていく>,<出ていく>
,
<ここに残る>,<ここに残る>
,
{N/A} [ホエミー / cara14-2],{N/A} [ホエミー / cara14-2]
#Message#,#Message#
\C[3]全部…夢だったらいいな…,\C[3]If only it were all a dream...
##,##
,
#Message#,#Message#
\.\C[3]起きた時には…お母さんが美味しいごはんを作ってくれて…,\.\C[3]When I woke up... mom would make me delicious food...
##,##
,
#Message#,#Message#
\.\C[3]お父さんと話して、ジョーやリョーコと学校で,"\.\C[3]I'd talk to dad, and meet Joe and Ryoko"
いつもみたいに…,at school like usual...
##,##
,
#Message#,#Message#
\.\C[3]他愛ない会話して…,\.\C[3]And just have an aimless chat...
##,##
,
#Message#,#Message#
\.\C[3]………,\.\C[3]..........
##,##
,
<Choice End>,<Choice End>
,
<Choice End>,<Choice End>
,
,
"**********Event2********** (ryouri) (8,5)","**********Event2********** (ryouri) (8,5)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]豪勢な料理が並んでいる。,\C[3]An extravagant feast.
##,##
,
-----Page2-----,-----Page2-----
#Message#,#Message#
\C[3]豪勢な料理が並んでいる。,\C[3]An extravagant feast.
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（食欲なんて…わくワケがない…）,\.\C[4](How could I have any appetite right now...?)
##,##
,
{N/A},{N/A}
#Message#,#Message#
\.\C[3]結局、自分たちは誘拐犯の手の平の上だ。,"\.\C[3]In the end, we're being held in"
##,the palms of the kidnappers' hands.
,##
,
#Message#,#Message#
\.\C[3]彼女らの意思ひとつで、首は飛ぶ。,\.\C[3]Our heads can fly off at their single whim.
##,##
,
#Message#,#Message#
\.\C[3]おそらく、出口なんて無い。,\.\C[3]There might not be any exit.
気が済むまで、弄ばれて、死んで行く。,We'll just be toyed with and killed
##,until they're satisfied.
,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（だったらもう…このまま…）,\.\C[4](In that case... then we're just going to...)
##,##
,
#Message#,#Message#
\.\C[4]（…）,\.\C[4](...)
##,##
,
{N/A},{N/A}
#Message#,#Message#
\.\C[3]不思議なものだ。,\.\C[3]It's a strange thing.
##,##
,
#Message#,#Message#
\.\C[3]死を何度も身近に感じた。,\.\C[3]I'd felt death was near again and again.
##,##
,
#Message#,#Message#
\.\C[3]もう、怖がる隙すら無かったのかもしれない。,\.\C[3]Maybe there was no chance left to be afraid.
##,##
,
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.\C[3]私は…死にたくない。,\.\C[3]I... don't want to die.
##,##
,
#Message#,#Message#
\.\C[3]この期に及んでも…まだ前に進みたい。,\.\C[3]Even at this point... I want to keep going.
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（はは…　自分の前向き加減が…嫌になる）,\.\C[4](Haha... I'm coming to hate my own positivity.)
##,##
,
#Message#,#Message#
\.\C[4]（やるだけやろう…　私がしくじったら,\.\C[4](I'll do whatever I can...
　みんなが死ぬんだ）," If I mess up, everyone will die.)"
##,##
,
#Message#,#Message#
\.\C[4]（この…最低なカードが　私の背中を押している気がする）,\.\C[4](This worst of cards... seems to me pushing me on.)
##,##
,
{N/A},{N/A}
#Message#,#Message#
\.\C[3]私は、少しだけ水を飲んで…,\.\C[3]I only drank a little water...
##,##
,
#Message#,#Message#
\.\C[3]時間が…きた。,\.\C[3]And the time... arrived.
##,##
,
{ホエミー} [ホエミー / cara14-1],{ホエミー} [ホエミー / cara14-1]
#Message#,#Message#
「時間になりました　皆様　画面向かい側の扉から,"It's now time. Please head to the grounds
　会場へお向かい下さい」," via the door near the screen, everyone."""
##,##
,
[ホエミー / cara14-2],[ホエミー / cara14-2]
#Message#,#Message#
\.「健闘を祈っております　うふふ…　あはは…」,\."I wish you luck. Eheehee... Ahaha..."
##,##
,
-----Page3-----,-----Page3-----
#Message#,#Message#
\C[3]豪勢な料理が並んでいる。,\C[3]An extravagant feast.
##,##
,
,
"**********Event4********** (ぼとる) (11,10)","**********Event4********** (ぼとる) (11,10)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]液体を入れて持ち運べるボトルだ。,\C[3]A bottle for carrying liquid.
##,##
,
-----Page2-----,-----Page2-----
{N/A},{N/A}
#Message#,#Message#
\C[3]液体を入れて持ち運べるボトルだ。,\C[3]A bottle for carrying liquid.
##,##
,
-----Page3-----,-----Page3-----
{N/A},{N/A}
#Message#,#Message#
\C[3]液体を入れて持ち運べるボトルだ。,\C[3]A bottle for carrying liquid.
##,##
,
,
"**********Event37********** (りぼるばー) (15,11)","**********Event37********** (りぼるばー) (15,11)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]【鍵番】と書かれたカードだ。,\C[3]A card with Keymaster written on it.
『これは出口へのカギ。誰かにカードの存在を知られると,It reads: "This is a key to the exit.
死ぬ。』と書かれている。,You will die if someone learns of this card."
##,##
,
,
"**********Event38********** (りぼるばー) (11,11)","**********Event38********** (りぼるばー) (11,11)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]リボルバーだ。,\C[3]A revolver.
弾丸を発射する凶器。円を描くように空いている穴には,A weapon that fires bullets. Can be charged with
９発までの弾丸を装填可能。,up to 9 bullets in its circular chamber.
##,##
,
,
"**********Event39********** (EV039) (12,10)","**********Event39********** (EV039) (12,10)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]ミシマ先生を含む、何人かの名前が書かれたメモ。,"\C[3]A note with some names, including Prof. Mishima."
八分雨ありす　という名も書かれている。,There's also the name Alice Yabusame.
##,##
,
,
"**********Event40********** (りぼるばー) (10,11)","**********Event40********** (りぼるばー) (10,11)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]『ご自由にお使いください』の紙が貼られた箱。,\C[3]A box with a note saying "Please use as you wish."
中には　\C[7]3\C[0]　6　1\C[7]　8　0\C[0]　2\C[3]　と書かれている。,Inside is written "\C[7]3\C[0] 6 1\C[7] 8 0\C[0] 2\C[3]."
##,##
,
,
,
=====Map60===== (戦う意思),=====Map60===== (戦う意思)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]目の前には、腰くらいの高さの奇妙な机が並んでいる。,"\C[3]In front of me were strange desks, about waist-height."
##,##
,
{ケイジ} [ケイジ / cara2-1],{ケイジ} [ケイジ / cara2-1]
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
「…来たね」,"...Here we are."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（ケイジさん…）,\.\C[4](Keiji...)
##,##
,
{Qタロウ} [Qタロウ / cara4-6],{Qタロウ} [Qタロウ / cara4-6]
{SE: se_maoudamashii_magical14},{SE: se_maoudamashii_magical14}
#Message#,#Message#
\.「…！　お前ら…早かったな…」,\."...! You guys... That was fast..."
##,##
,
{レコ} [レコ / cara6-8],{レコ} [レコ / cara6-8]
#Message#,#Message#
\.「………」,\.".........."
##,##
,
{ナオ} [ナオ / cara7-14],{ナオ} [ナオ / cara7-14]
#Message#,#Message#
\.「…ぅぅ……」,\."...Oogh..."
##,##
,
{カイ} [カイ / cara8-1],{カイ} [カイ / cara8-1]
#Message#,#Message#
\.「…」,\."..."
##,##
,
{ゴンベエ} [アリス / cara11-5],{ゴンベエ} [アリス / cara11-5]
#Message#,#Message#
\.「…フン　どいつもこいつも青ざめやがって…」,"\.""...Hmph. All of you, so pale..."""
##,##
,
{ギン} [ギン / cara9-4],{ギン} [ギン / cara9-4]
#Message#,#Message#
\.「……………」,\.".........."
##,##
,
{ジョー} [ジョー / cara1-16],{ジョー} [ジョー / cara1-16]
#Message#,#Message#
\.「………」,\.".........."
##,##
,
{ソウ} [ソウ / cara5-21],{ソウ} [ソウ / cara5-21]
#Message#,#Message#
\.「…なんで…こんなこと…」,\."...Why... is this happening..."
##,##
,
{N/A},{N/A}
#Message#,#Message#
\.\C[3]絶望的なゲームが始まる。,\.\C[3]A desperate game is beginning.
##,##
,
#Message#,#Message#
\.\C[3]それでも、やるしかない。,"\.\C[3]And yet, we just have to play it."
##,##
,
{ホエミー} [ホエミー / cara14-2],{ホエミー} [ホエミー / cara14-2]
{SE: se_maoudamashii_magical14},{SE: se_maoudamashii_magical14}
#Message#,#Message#
\.「うふふ…　あら　意外と参加するじゃないですか」,"\.""Eheehee... Ah, so you'll take part after all?"""
##,##
,
{Qタロウ} [Qタロウ / cara4-5],{Qタロウ} [Qタロウ / cara4-5]
#Message#,#Message#
\.「ホエミー…!!　きさん…!!」,\."Miley...!! You...!!"
##,##
,
{ホエミー} [ホエミー / cara14-1],{ホエミー} [ホエミー / cara14-1]
#Message#,#Message#
\.「あはは…　皆さん　あの机をよ～く見て下さい」,\."Ahaha... Please take a good look
##," at those desks, everyone."""
,##
,
#Message#,#Message#
\.「中々　面白い仕掛けなんですよ～？」,"\.""A rather interesting setup, isn't it?"""
##,##
,
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
\.「うふふ…　世にも奇妙な　逆さ砂時計です」,\."Eheehee... They are reverse hourglasses.
##, Most curious indeed."
,##
,
#Message#,#Message#
\.「この砂時計が　全て上に行った時　話し合いは終了です」,"\.""When these hourglasses have all reached the top,"
##, the discussion will end."
,##
,
#Message#,#Message#
\.「予選投票までは　７０分,\."You have 70 minutes until the preliminary vote.
　その後　決選投票までは　２０分　話し合いができます」," After that, you can discuss for 20 minutes"
##, before the final vote."
,##
,
[ホエミー / cara14-2],[ホエミー / cara14-2]
#Message#,#Message#
\.「それでは　話し合いを始めましょうか」,"\.""Well then, shall the discussion begin?"""
##,##
,
{レコ} [レコ / cara6-3],{レコ} [レコ / cara6-3]
#Message#,#Message#
\.「待てよ!!　カンナが…　カンナがいねえ!!」,\."Hold up!! Kanna... Kanna ain't here!!"
##,##
,
{ホエミー} [ホエミー / cara14-3],{ホエミー} [ホエミー / cara14-3]
#Message#,#Message#
\.「あら…　こんなに楽しいことに参加しない人も,\."Oh dear... So some would choose
　いるんですね」, not to take part in something so enjoyable."
##,##
,
{サラ},{サラ}
#Message#,#Message#
\.「ちょ…　ちょっと待って!!　カンナは…絶対に来る!!」,\."H... Hold on!! Kanna... will definitely come!!"
##,##
,
{ホエミー} [ホエミー / cara14-2],{ホエミー} [ホエミー / cara14-2]
{SE: horror_piano chord3},{SE: horror_piano chord3}
#Message#,#Message#
\.「時間は有限です　彼女はそっちを選択した　それまでです」,"\.""Time is limited. That is what she chose,"
##, and that is the end of the matter."
,##
,
#Message#,#Message#
\.「サラさんは…選択を間違えてませんね？」,\."Miss Sara...
##," You haven't made the wrong choice, have you?"""
,##
,
{サラ},{サラ}
#Message#,#Message#
\.\C[4]（私が…選択を…\.\.間違えた…？）,\.\C[4](Did I... make...\.\. the wrong choice...?)
##,##
,
{ホエミー} [ホエミー / cara14-1],{ホエミー} [ホエミー / cara14-1]
#Message#,#Message#
\.「それでは　メインゲームを　開始します！,"\.""Well then, let us start the Main Game!"
　\!皆様　好きな机の前に　立ってください！」,"\! Everyone, stand at whichever desk you like!"""
##,##
,
{N/A},{N/A}
#Message#,#Message#
\.\C[3]私達は急かされ机に向かった。,\.\C[3]We were urged to head for the desks.
##,##
,
{ホエミー},{ホエミー}
#Message#,#Message#
\.「それでは用意はいいですね！」,"\.""Now then, you seem to be prepared!"""
##,##
,
[ホエミー / cara14-6],[ホエミー / cara14-6]
#Message#,#Message#
\.「これより　メインゲームを始めます！」,\."Let the Main Game begin!"
##,##
,
{？？？},{？？？}
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「…待って…ください…」,\."...Please... wait..."
##,##
,
{カンナ} [カンナ / cara3-3],{カンナ} [カンナ / cara3-3]
#Message#,#Message#
「…あ…あの……私も……」,"...U... Um... I'm also..."
##,##
,
{サラ},{サラ}
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
\.「カンナ…!!」,\."Kanna...!!"
##,##
,
{ホエミー} [ホエミー / cara14-2],{ホエミー} [ホエミー / cara14-2]
#Message#,#Message#
\.「歓迎しますよ　木津池 神奈,"\.""You are welcomed, Kanna Kizuchi."
　後悔は…　参加してから　すればいいのです…うふふ」, Regrets... can wait until after taking part.
##, Eheehee..."
,##
,
{カンナ} [カンナ / cara3-3],{カンナ} [カンナ / cara3-3]
#Message#,#Message#
\.「………」,\.".........."
##,##
,
{ホエミー} [ホエミー / cara14-1],{ホエミー} [ホエミー / cara14-1]
{SE: flash-of-light-3},{SE: flash-of-light-3}
#Message#,#Message#
\.「あはは…！　楽しい楽しいメインゲームの始まりです！」,"\.""Ahaha...! Let this wonderful,"
##, wonderful Main Game begin!"
,##
,
,
"**********Event3********** (ぼとる) (11,10)","**********Event3********** (ぼとる) (11,10)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]液体を入れて持ち運べるボトルだ。,\C[3]A bottle for carrying liquid.
##,##
,
-----Page2-----,-----Page2-----
{N/A},{N/A}
#Message#,#Message#
\C[3]液体を入れて持ち運べるボトルだ。,\C[3]A bottle for carrying liquid.
##,##
,
-----Page3-----,-----Page3-----
{N/A},{N/A}
#Message#,#Message#
\C[3]液体を入れて持ち運べるボトルだ。,\C[3]A bottle for carrying liquid.
##,##
,
,
"**********Event4********** (りぼるばー) (15,11)","**********Event4********** (りぼるばー) (15,11)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]【鍵番】と書かれたカードだ。,\C[3]A card with Keymaster written on it.
『これは出口へのカギ。誰かにカードの存在を知られると,It reads: "This is a key to the exit.
死ぬ。』と書かれている。,You will die if someone learns of this card."
##,##
,
,
"**********Event5********** (りぼるばー) (11,11)","**********Event5********** (りぼるばー) (11,11)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]リボルバーだ。,\C[3]A revolver.
弾丸を発射する凶器。円を描くように空いている穴には,A weapon that fires bullets. Can be charged with
９発までの弾丸を装填可能。,up to 9 bullets in its circular chamber.
##,##
,
,
"**********Event6********** (EV006) (12,10)","**********Event6********** (EV006) (12,10)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]ミシマ先生を含む、何人かの名前が書かれたメモ。,"\C[3]A note with some names, including Prof. Mishima."
八分雨ありす　という名も書かれている。,There's also the name Alice Yabusame.
##,##
,
,
"**********Event7********** (りぼるばー) (10,11)","**********Event7********** (りぼるばー) (10,11)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
\C[3]『ご自由にお使いください』の紙が貼られた箱。,\C[3]A box with a note saying "Please use as you wish."
中には　\C[7]3\C[0]　6　1\C[7]　8　0\C[0]　2\C[3]　と書かれている。,Inside is written "\C[7]3\C[0] 6 1\C[7] 8 0\C[0] 2\C[3]."
##,##
,
,
,
=====Map62===== (新　移動部屋),=====Map62===== (新　移動部屋)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
{N/A},{N/A}
#Message#,#Message#
後編に行きますか？,Proceed to the second part?
##,##
,
#Choice#,#Choice#
はい,Yes
いいえ（タイトルへ）,No (To Title)
セーブする,Save
##,##
,
<はい>,<はい>
,
<いいえ（タイトルへ）>,<いいえ（タイトルへ）>
,
{N/A},{N/A}
#Message#,#Message#
本当にタイトルに戻りますか？,Really return to title?
##,##
,
#Choice#,#Choice#
タイトルへ戻る,Return to title
考え直す,Rethink it
##,##
,
<タイトルへ戻る>,<タイトルへ戻る>
,
{N/A},{N/A}
#Message#,#Message#
ここまでプレイして頂き、ありがとうございました。,Thank you for playing this far.
##,##
,
<考え直す>,<考え直す>
,
<Choice End>,<Choice End>
,
<セーブする>,<セーブする>
,
<Choice End>,<Choice End>
,
,
,
=====Map63===== (2章OP),=====Map63===== (2章OP)
,
"**********Event2********** (EV002) (1,0)","**********Event2********** (EV002) (1,0)"
-----Page1-----,-----Page1-----
#Message#,#Message#
キャラクターをタッチすると、個別に２章までの行動を,Touch a character to review
振り返ることができます。,each person's actions prior to Chapter 2.
##,##
,
#Message#,#Message#
\.\C[2]出口\C[0]　をタッチすることで,\.Touch \C[2]EXIT\C[0] to begin the story.
物語を開始することができます。,##
##,
,
,
,
=====Map64===== (人形劇),=====Map64===== (人形劇)
,
"**********Event1********** (EV001) (0,0)","**********Event1********** (EV001) (0,0)"
-----Page1-----,-----Page1-----
#Message#,#Message#
\C[3]ある所に　サラちゃんという　女子高生が,\C[3]There was once a high school student
クールに暮らしてました,named Sara who was very cool.
##,##
,
#Message#,#Message#
\!\C[3]親友の　ジョーくんとの帰り道,"\!\C[3]Walking home with her best friend Joe,"
危ない危ないストーカー　から逃げるように家へ戻ると…,"they ran from a scary, scary stalker back home..."
##,##
,
#Message#,#Message#
\!\C[3]母は倒れ　父はおらず　部屋は荒らされていて…,"\!\C[3]Then she found her mother had collapsed,"
サラちゃんは　気が動転しました。,"her father was gone, and the rooms were a mess..."
##,Sara was disoriented.
,##
,
#Message#,#Message#
\!\C[3]気が付くと見知らぬ部屋。,"\!\C[3]When she came to, she was in an unfamiliar room."
そして前に現れた　見知らぬ１０人の　人々。,And 10 unfamiliar people appeared before her.
##,##
,
#Message#,#Message#
\!\C[3]人を撃った過去を持つおまわりさん　ケイジ,"\!\C[3]A policeman who once shot a person, Keiji."
　筋肉ゴリラのプロ野球選手　Qタロウ,"A muscle gorilla of a pro baseball player, Q-taro."
##,##
,
#Message#,#Message#
\!\C[3]非力で陰キャなフリーター　ソウ,"\!\C[3]A weak and loner-ish job-hopper, Sou."
　メイクが奇抜なバンギャ　レコ,"A musician with striking makeup, Reko."
##,##
,
#Message#,#Message#
\!\C[3]いかにも不審な教師　ミシマ,"\!\C[3]An awfully dubious teacher, Mishima."
その元教え子　ナオ,"His former student, Nao."
##,##
,
#Message#,#Message#
\!\C[3]とぼけた変な主夫　カイ,"\!\C[3]A strange, aloof homemaker, Kai."
ワンニャン小学生　ギン,"A woofing and mewoing grade-schooler, Gin."
##,##
,
#Message#,#Message#
\!\C[3]そして　最初の試練で　姉を失った　カンナ,\!\C[3]And a girl who lost her big sister
##,"in the First Trial, Kanna."
,##
,
#Message#,#Message#
\!\C[3]サラは　みんなと協力して　様々な試練を乗り越えました,\!\C[3]Sara worked with everyone to overcome various trials.
##,##
,
#Message#,#Message#
\!\C[3]でも思い出したのです　主夫のカイこそが,"\!\C[3]But she remembered that the homemaker, Kai,"
ストーカーだったこと,was her stalker.
##,##
,
#Message#,#Message#
\!\C[3]そしてミシマは　誰かの投票により　練習試合で死に,\!\C[3]And then Mishima died in a practice round
##,due to someone's vote.
,##
,
#Message#,#Message#
\!\C[3]ソウは　何者かに　頭をなぐられ,\!\C[3]Sou was hit in the head by someone.
##,##
,
#Message#,#Message#
\!\C[3]突然現れた　殺人犯のアリスは　レコの兄と判明しました,\!\C[3]The suddenly-appearing murderer Alice
##,confessed to being Reko's brother.
,##
,
#Message#,#Message#
\!\C[3]それでも力を合わせて進んだ先には,"\!\C[3]Even so, they worked together to advance, and..."
##,##
,
#Message#,#Message#
\!\C[3]親友のジョーと　情報を持つ男カイが　死にました,\!\C[3]Her best friend Joe
##,and the information-possessing Kai died.
,##
,
,
,
=====Map65===== (夢の中・書斎),=====Map65===== (夢の中・書斎)
,
"**********Event1********** (EV001) (1,0)","**********Event1********** (EV001) (1,0)"
-----Page1-----,-----Page1-----
{？？？},{？？？}
#Message#,#Message#
「失礼します」,"Excuse me."
##,##
,
{カイ} [カイ / cara8-18],{カイ} [カイ / cara8-18]
#Message#,#Message#
「お昼ご飯をお持ちしました」,"I have brought your lunch."
##,##
,
{？？？},{？？？}
#Message#,#Message#
「おお　ありがとう」,"""Ohh, thank you."""
##,##
,
#Message#,#Message#
\.「カイ　ちょっといいか？」,"\.""Kai, you got a minute?"""
##,##
,
{カイ} [カイ / cara8-19],{カイ} [カイ / cara8-19]
#Message#,#Message#
「は…はい…？」,"Y... Yes?"
##,##
,
{？？？} [サラの父 / cara17-1],{？？？} [サラの父 / cara17-1]
{SE: Accent21-1},{SE: Accent21-1}
#Message#,#Message#
「カイ　キミがここへ来てから　何年経った？」,"Kai. How many years's it been since you came here?"
##,##
,
{カイ} [カイ / cara8-21],{カイ} [カイ / cara8-21]
#Message#,#Message#
\.「ふむ…何年でしょう…　ずっと長い間…ですね」,\."Hm... How many indeed...
##," Surely, it's been quite a long time."""
,##
,
{？？？} [サラの父 / cara17-2],{？？？} [サラの父 / cara17-2]
#Message#,#Message#
\.「かかか！　そんな働き者のキミへ　これを渡したい」,"\.""Gahaha! That's why I want to give you this,"
##, you hard-worker."
,##
,
{カイ} [カイ / cara8-19],{カイ} [カイ / cara8-19]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
\.「これは…？」,\."What is this...?"
##,##
,
{？？？} [サラの父 / cara17-1],{？？？} [サラの父 / cara17-1]
#Message#,#Message#
\.「いいからいいから　付けてみなって」,"\.""Go on, go on, try it on."""
##,##
,
{カイ} [カイ / cara8-16],{カイ} [カイ / cara8-16]
{SE: Accent28-1},{SE: Accent28-1}
#Message#,#Message#
「………」,".........."
##,##
,
{？？？} [サラの父 / cara17-2],{？？？} [サラの父 / cara17-2]
#Message#,#Message#
\.「おっ！　似合ってるじゃねーか」,"\.""Whoa! Suits you pretty well, eh?"""
##,##
,
{カイ} [カイ / cara8-20],{カイ} [カイ / cara8-20]
#Message#,#Message#
\.「これはその…　どういったことで…」,"\.""What, er... What exactly led to..."""
##,##
,
{？？？} [サラの父 / cara17-2],{？？？} [サラの父 / cara17-2]
#Message#,#Message#
\.「なにって…プレゼントだよ」,\."C'mon now... It's a present."
##,##
,
#Message#,#Message#
\.「妻も　サラも　キミのおかげで安全に暮らせている」,\."My wife and Sara live safely thanks to you."
##,##
,
{カイ} [カイ / cara8-17],{カイ} [カイ / cara8-17]
#Message#,#Message#
\.「そ…その…　感謝の気持ちと　おっしゃるのですか…？」,\."E... Er... So you mean to state
##, your feelings of gratitude...?"
,##
,
